id,regisseur
251516,David Sandberg
324807,Luca Guadagnino
252512,Noah Baumbach
257091,Etan Cohen
347969,Frank Coraci
237756,Kriv Stenders
293646,Patricia Riggen
245168,Sarah Gavron
311291,Andrew Haigh
301351,Max Joseph
248574,Kyle Newman
225728,Justin Kurzel
326425,Steven C. Miller
342474,Mary Agnes Donoghue
277217,Kenny Ortega
207936,Sean Mewshaw
250734,Thomas Vinterberg
268238,John Madden
322456,Brandon Vietti
222936,Cameron Crowe
316002,David O. Russell
365806,Ian Kirby
10317,David Gordon Green
334538,Patricia Rozema
306947,Karyn Kusama
382517,David Feiss
310133,Jon Watts
288036,Leslye Headland
331781,Asif Kapadia
253161,Sophie Barthes
312831,Corin Hardy
316322,Zeke Norton
301846,Paul Hyett
306745,Peter Sollett
332340,Ben Palmer
292431,Gaspar Noé
300693,James Vanderbilt
333381,Fouad Mikati
256924,Dan Fogelman
253414,Barry Levinson
254172,Gabriele Muccino
320588,Michael Showalter
157544,Mark Neveldine
283235,Ramin Bahrani
243938,Steve Pink
86835,Terrence Malick
309242,Ryan Fleck
332502,Matt Osterman
286192,James Ford Murphy
338676,Miguel Ángel Vivas
232572,Ken Kwapis
112454,Jon Watts
243940,David Gelb
321528,Jay Oliva
317744,Elizabeth Allen Rosenbaum
239573,Ken Scott
167810,Ryan Gosling
334527,Jackie Earle Haley
300153,Anton Corbijn
228203,Niki Caro
278236,Morgan Matthews
276839,Anthony Burns
326215,Toby Genkel
318256,Jill Bauer
299245,Travis Cluff
333344,Neil LaBute
357096,R.D. Braunstein
309299,Michael Almereyda
314385,Angelina Jolie
333596,Andrew Erwin
361042,Sheldon Wilson
353686,Kevin Greutert
318954,Chad Burns
289191,Anders Morgenthaler
252164,Ron Scalpello
360784,Ross Duffer
336313,Tom Gianas
240483,Jon Wright
321494,Roel Reiné
264337,Sean McNamara
289716,David Burris
296065,Anthony DiBlasi
337029,Bernard Rose
317952,Matthew Heineman
325358,Jason Friedberg
340275,Spike Lee
309887,Craig Moss
302429,Gary Rydstrom
253331,Mike Binder
293771,Zach Lipovsky
323373,Jason Lei Howden
323027,Sam Liu
297806,Marc Abraham
253626,Andrew Niccol
354251,Roxanne Benjamin
355338,Josh Cooley
271736,Stephen Frears
293970,Todd Strauss-Schulson
364067,Sofia Coppola
318922,Owen Harris
266639,Jon M. Chu
274504,Pamela Romanowsky
244316,David Hackl
352208,Michael Moore
283587,Cary Fukunaga
311539,Grant Harvey
283596,Robert Carlyle
250225,Peter Strickland
307479,April Mullen
339145,Marya Cohn
308638,Andrew Mogel
327528,Robert Budreau
306964,Darren Lynn Bousman
362185,Obin Olson
94365,Tom Six
291272,Ted Geoghegan
324963,Dan Fraga
342927,Christopher Ray
361159,Stanton Barrett
351964,Will Slocombe
362057,Kevin Goetz
137333,Matthew Leutwyler
57876,Oren Peli
339533,John Baumgartner
306482,Ariel Kleiman
245846,Kim Farrant
330112,Tony McNamara
322766,Christopher Zalla
361931,Anthony Wonke
318224,Alex Gibney
309503,Mora Stephens
348811,Ryan Little
310135,François Simard
355111,Karen J. Lloyd
335866,Aaron Hann
335970,Fred Wolf
366142,Kyle Balda
310121,Brett Haley
324308,Alex Gibney
326923,Lee Friedlander
356842,David Farr
339530,Don Michael Paul
331190,Jerry Jameson
395883,Francesco Cinquemani
356300,Jeremy Lalonde
218784,Robbie Pickering
310137,José Manuel Cravioto
342917,Butch Lukic
296130,Alec Gillis
327418,Butch Lukic
328869,Reed Morano
329829,Mika Kaurismäki
330544,Dee Rees
299551,Chris Sparling
207270,Matt Winn
284286,Isabel Coixet
340816,Mitch Davis
331446,Anthony C. Ferrante
351901,Stephen Reynolds
357681,Mark Neale
333657,Fabrizio Conte
336845,Alex Kalymnios
343795,Michael Polish
294562,Mike Mendez
297556,Ethan Spaulding
316885,Jeppe Rønde
228973,Adam MacDonald
359305,Aisling Walsh
329004,Stephen Fingleton
330127,Jason Aron
323694,Ben Blaine
334028,Adam Egypt Mortimer
354924,Jason Stutter
291865,Conor McMahon
334531,Angelo Pizzo
324803,Adam Mason
309304,Paul Weitz
306966,Alberto Marini
226458,Marcus Nispel
339148,Emily Ting
347754,Iain Softley
317144,Ben Chanan
338928,Davis Guggenheim
291189,Zachary Sluser
309425,Jonathan M. Gunn
287689,Jake Szymanski
325189,Jeffrey Hornaday
298582,Sean Cisterna
301228,Justin Trefgarne
343934,Rhys Thomas
282313,Dan Bush
300542,Alex Ross Perry
318044,Liz Garbus
316715,Paul Andrew Williams
323370,Alistair Legrand
337958,Jeremy Sims
333674,Adam Schindler
301728,Shane Abbess
256030,Steve Wolsh
300666,Daniel Duran
373558,Jonas Åkerlund
329205,Petr Jákl Jr.
321769,Alex Winter
251471,Kief Davidson
174340,Marina Zenovich
309298,Jared Hess
285840,Adam Brooks
341886,L. Gustavo Cooper
311615,Alex Winter
333873,Charles de Lauzirika
293941,Stéphanie Joalland
294132,Andrew Bujalski
301629,Jamie Babbit
331592,Khalil Sullins
342464,Janet Grillo
316410,Jared Cohn
106845,Valeri Milev
323966,Ara Paiaya
354857,J.G. Quintel
333653,Nancy Savoca
75861,Nathan Frankowski
323272,Alex Kendrick
343921,Rachel Goldenberg
361671,JR
346494,Florian Cossen
321974,Amy Berg
359255,Shawn Rasmussen
355178,Chris Rock
310491,Gerard Barrett
319096,Angela Bassett
360341,Morgan Neville
329556,Levan Bakhia
241927,Bruce McDonald
321668,Chad Michael Ward
315024,Sean Cain
324253,Colin Hanks
395560,Andrew Martin
308084,Sean Baker
327029,Joseph Kahn
249916,Desiree Akhavan
244563,David Zellner
312797,Basel Owies
295595,Benjamin Statler
371758,Craig Viveiros
317981,Brian James O'Connell
333103,Joel Gallen
319076,Stevan Riley
332839,Jorge Michel Grau
362434,Peter Sullivan
316761,Bobcat Goldthwait
347944,Sonny Mallhi
279972,Adam Green
362439,Nick Lyon
355600,Paul Thomas Anderson
308447,Spike Brandt
348035,Phil Joanou
298032,Bryan Bockbrader
371833,Alex Pillai
365717,Martin Scorsese
321594,Louis C.K.
307931,Crystal Moselle
332706,Diane Bell
333377,Jared P. Scott
275696,Gabriel Cowan
326247,Aaron Keeling
318973,Christopher K. Walker
273899,Roland Emmerich
345468,Josh Forbes
269033,James Healey
318225,Kristina Goolsby
352552,Amy Rice
343981,Jane Preston
319067,Robert Gordon
332177,Jen Soska
347258,Robert Mond
312793,Scott Dow
306943,Peter Hutchings
324325,Samantha Futerman
321640,Andrew Jarecki
309919,Derick Martini
330916,Felix Thompson
273599,Dru Brown
253303,Joel Potrykus
356846,Owen Harris
367735,Rhys Thomas
157336,Christopher Nolan
118340,James Gunn
100402,Joe Russo
245891,Chad Stahelski
131631,Francis Lawrence
122917,Peter Jackson
177572,Don Hall
205596,Morten Tyldum
198663,Wes Ball
194662,Alejandro González Iñárritu
210577,David Fincher
228150,David Ayer
181533,Shawn Levy
157350,Neil Burger
127585,Bryan Singer
240832,Luc Besson
98566,Jonathan Liebesman
225886,Jake Kasdan
242582,Dan Gilroy
91314,Michael Bay
120467,Wes Anderson
244786,Damien Chazelle
119450,Matt Reeves
156022,Antoine Fuqua
227159,Sean Anders
102382,Marc Webb
137113,Doug Liman
228967,Evan Goldberg
190859,Clint Eastwood
147441,Ridley Scott
124905,Gareth Edwards
102651,Robert Stromberg
254904,Roger Donaldson
242512,Stiles White
82702,Dean DeBlois
270303,David Robert Mitchell
138103,Patrick Hughes
137106,Phil Lord
72784,Erik Van Looy
68737,Sergey Bodrov
266856,James Marsh
193893,Luke Greenfield
49017,Gary Shore
270946,Simon J. Smith
224141,Rob Marshall
53182,Noam Murro
227156,Phillip Noyce
187017,Phil Lord
169917,Scott Frank
116149,Paul King
284276,Daniel Barnz
212778,Jon Favreau
238636,James DeMonaco
218043,Vic Armstrong
85350,Richard Linklater
241239,J.C. Chandor
184315,Brett Ratner
86834,Darren Aronofsky
205587,David Dobkin
232672,Frank Coraci
195589,Nicholas Stoller
249164,R.J. Cutler
243683,Trish Sie
200727,Christian Ditter
222935,Josh Boone
244267,Mike Cahill
168530,Tim Story
244761,Atom Egoyan
171274,Paul Thomas Anderson
137094,Kenneth Branagh
225574,Jaume Collet-Serra
262543,Gabe Ibáñez
321068,Anne K. Black
154400,Michaël R. Roskam
97020,José Padilha
157353,Wally Pfister
193610,Nick Cassavetes
82703,Rob Minkoff
286532,Tristram Shapeero
189,Frank Miller
297270,Steve Loter
172385,Carlos Saldanha
100042,Bobby Farrelly
204922,Rowan Joffe
152760,George Clooney
227306,Angelina Jolie
273895,Ava DuVernay
265177,Xavier Dolan
255343,Andrea Di Stefano
175112,Peggy Holmes
228970,Jean-Marc Vallée
76649,Paul W.S. Anderson
239571,Michael Hoffman
196867,Will Gluck
207933,Brad Anderson
228326,Jorge R. Gutierrez
239563,Theodore Melfi
136797,Scott Waugh
286554,Max Nichols
262338,Henrik Ruben Genz
170687,Graham Annable
87093,Tim Burton
241254,Brian A Miller
246080,Kevin Macdonald
110416,Tomm Moore
253980,Drew Pearce
242095,William Eubank
157825,Gregg Araki
216282,Steven Quale
289720,Nick Powell
192102,McG
218836,Roberts Gannaway
252178,Yann Demange
144336,David Ayer
188161,Seth MacFarlane
255157,Philip Martin
171372,Lenny Abrahamson
244506,Peter Sattler
136835,Sam Miller
284293,Richard Glatzer
256274,John Erick Dowdle
87492,Bennett Miller
277547,Justin Reardon
226857,Shana Feste
157845,David Michôd
271674,Saul Dibb
192149,Hossein Amini
187596,Steven Brill
181886,Denis Villeneuve
250546,John R. Leonetti
328763,Nils Timm
100241,Stuart Beattie
225565,Tom Gormican
192132,Gia Coppola
200505,Ivan Reitman
254473,Camille Delamarre
242224,Jennifer Kent
286519,François Girard
164251,Susanne Bier
284689,James Kent
250066,Sarik Andreasyan
169298,Nick Lyon
244772,Craig Johnson
260339,David Hare
283384,Jason Stone
137321,Akiva Goldsman
234200,Matthew Warchus
244264,Lynn Shelton
241848,Adam Wingard
238215,Tom McCarthy
188166,Jeremy Saulnier
253344,Tom Vaughan
256917,Russell Crowe
171424,Eli Roth
229297,Woody Allen
192712,Ralph Ziman
218778,Miguel Arteta
239678,Shawn Levy
264656,Tommy Lee Jones
294652,Julius Avery
244509,Jim Mickle
146015,Richard Ayoade
227783,Peter Lepeniotis
327833,Ekachai Uekrongtham
151368,Nacho Vigalondo
230179,Jalmari Helander
242076,David Grovic
209451,Clint Eastwood
222899,Steve Pink
198185,Craig Gillespie
231576,Zach Braff
244539,Maya Forbes
287587,Ross Katz
285135,W.D. Hogan
283350,Chris Evans
97370,Jonathan Glazer
177494,Rob Thomas
254375,Peter Chelsom
235260,Christopher Spencer
250657,Stephanie Soechtig
242643,Ethan Spaulding
242042,Andrew Fleming
217993,Jay Oliva
157834,Terry Gilliam
253306,Gerard Johnstone
288281,Peter Askin
232679,Thomas Carter
260202,David Hare
256835,Steve Purcell
293299,Patrick Osborne
270302,Lone Scherfig
251852,John Suits
215211,Olivier Dahan
177047,Steven Bernstein
276844,Josh Lawson
226448,Brin Hill
255268,Craig Moss
297596,Paul Schrader
193612,John Pogue
242310,Paco Cabezas
157849,Anton Corbijn
284296,Chris Rock
239566,Tate Taylor
282813,Grégory Levasseur
184346,Scott Derrickson
246860,Olivier Assayas
245916,Michael Cuesta
273271,Bradley King
245906,Peter Bogdanovich
246741,Jemaine Clement
276902,Matt Shakman
254191,Leigh Janiak
253312,Jack Plotnick
210479,Steven Knight
246400,Iain Forsyth
227735,Charles Martin Smith
206821,Peter Glanz
152790,Phil Alden Robinson
244536,Kat Candler
288158,Tom Harper
203834,Kevin Greutert
145220,James Bobin
258750,Kurando Mitsutake
297608,Adam Robitel
246403,Kevin Smith
243684,Jason Reitman
287426,Paul Bettany
303623,Stephen Merchant
228496,Bernard Rose
276843,Andy Hamilton
269173,Noel Clarke
286521,Richard Loncraine
184345,Michael Tiddes
271714,Bill Pohlad
236751,Randall Wallace
251994,John Herzfeld
243568,Nick Gomez
145221,Tom Green
157823,Kelly Reichardt
242022,Damon Beesley
285733,Karen J. Lloyd
284294,Oren Moverman
293310,Laura Poitras
283227,Alan Rickman
214314,Alastair Fothergill
188207,Renny Harlin
157851,David Cronenberg
254474,Jordan Rubin
253235,Rob Reiner
245700,Mike Leigh
258805,Huck Botko
290555,David Hayter
313867,Dearbhla Walsh
203739,Mark Waters
157829,Ned Benson
250538,Philippe Falardeau
256731,Chris Brinker
312791,Trevor Matthews
253272,Tony Mahony
193726,Chris Nash
248504,Anthony C. Ferrante
244268,Ira Sachs
267863,Max Giwa
230266,Liv Ullmann
261375,Dominique Deruddere
190469,Emilis Velyvis
259072,Valeri Milev
284537,Shira Piven
312526,Jabbar Raisani
258099,Courteney Cox
275060,Ned Benson
285843,Ruba Nadda
250535,Christopher Smith
277597,Christopher Ray
240916,Peter Howitt
254024,Michael Winterbottom
244783,Kate Barker-Froyland
250388,Uwe Boll
252171,Ana Lily Amirpour
253254,Shawn Christensen
210947,Clif Prowse
254263,Richard Rich
235271,Bille Woodruff
241771,Gina Prince-Bythewood
299582,Alex Zamm
298865,Ian Kessner
228358,Dallas Richard Hallam
252680,Andrew Erwin
251519,Ethan Spaulding
238603,Dave Green
270938,Ernie Barbarash
275318,Casper Van Dien
249260,Scott Wheeler
215379,Jake Paltrow
293633,Ryan Phillippe
297961,Mikael Salomon
248774,Gillian Robespierre
292177,Ishi Rudell
242166,Mario Van Peebles
156597,Jerome Sable
313074,Jim Weedon
275985,Glenn Miller
286654,Alan White
238475,Jason Friedberg
284536,Rupert Wyatt
257447,Allan Ungar
270005,James Mottern
254023,Barry Levinson
268060,Jason Momoa
209185,Don McKellar
282041,Mark Hartley
300706,Scott Foley
265016,Colin Minihan
289314,Lisa Cholodenko
254194,Kevin Kolsch
261101,Sebastian del Amo
253295,Leon Gast
82657,Takashi Shimizu
287415,Malek Akkad
259954,Victor Levin
94590,James D. Rolfe
199575,Zak Hilditch
174337,Jenée LaMarque
236399,Deborah Chow
279171,Gabriel Range
270654,Brian Horiuchi
206296,Richard LaGravenese
157099,Geoff Moore
157424,Kaare Andrews
276401,Ned Benson
241843,Cary Murnion
297680,Daniel Simpson
126172,Zach Lipovsky
293894,Antony Smith
212231,John Stockwell
268171,Michael Radford
289727,Marc Lawrence
330115,Helen Hunt
276496,James Napier Robertson
290999,Kiah Roache-Turner
249660,Harold Cronk
302828,Brian Falk
305091,Damon Gameau
281418,Richard Gray
299969,Zak Knutson
267806,Nacho Vigalondo
242090,Charlie McDowell
289416,Jeff Chan
265010,Ivan Kavanagh
257117,Madellaine Paxson
113833,Ryan Murphy
243526,Riley Stearns
79316,Matt Bettinelli-Olpin
285387,Fabrice Du Welz
258284,Amy Berg
284284,Daniel Barber
294093,Matt Drummond
304336,Greg Carter
276488,Brian O'Malley
319389,Luke Matheny
278774,Peter DeLuise
282672,Stephen Lance
306650,Paul Katis
255491,Ellie Kanner
252102,Aaron Katz
209269,Matthew Saville
269650,Shinji Aramaki
114155,Richard Laxton
259074,Declan O'Brien
304613,Chris Sun
269100,Jeremy Snead
282296,Israel Horovitz
293262,Clare Lewins
274820,Charles-Olivier Michaud
275619,James Kondelik
244403,William H. Macy
283589,Siddharth Anand
286548,Wych Kaosayananda
289394,Uli Edel
200511,Jay Martin
260001,Susanna Fogel
254193,Adrián García Bogliano
253251,Carlos Marques-Marcet
263855,Claudia Myers
270771,Thomas S. Hammock
249170,Todd Douglas Miller
225044,Frank Whaley
244260,Sara Colangelo
209416,Mike Myers
250658,Brian Knappenberger
262788,Juan Pablo Buscarini
267793,Karen Moncrieff
284274,Leo Riley
265019,Christopher Denham
301959,Dan Storey
258193,Matty Beckerman
264170,Bruce Timm
294741,Carol Morley
298093,Greg Francis
298445,Tommy Avallone
250574,Patrick Brice
279914,Dustin Marcellino
261037,Karen Leigh Hopkins
277702,Deon Taylor
268321,Martin Weisz
266040,Pascale Ferran
256690,Mamat Khalid
286987,Paul Hoen
251321,Claudia Llosa
285423,Don Michael Paul
281778,John Lyde
271185,Allison Burnett
277688,Richard Bates Jr.
197696,Abel Ferrara
262481,Tyler Measom
256766,Gun Ho Jang
251768,Giancarlo Volpe
146229,Olly Blackburn
259453,Ronnie Thompson
266102,Richard Raymond
226140,Jen Soska
266084,John Boorman
297265,Elaine Constantine
248212,Hong Khaou
287524,Robert Hall
294959,Josh Lowell
278632,Matthew A. Brown
206192,Stanley M. Brooks
258251,Jonathan English
273641,Jeff Tremaine
300467,Jack Heller
280922,Jake Hoffman
221667,Bertrand Bonello
331727,Joey Ansah
288445,Jeremy Berg
262840,Lowell Dean
254188,Nicholas McCarthy
253270,Jen McGowan
280002,Casey La Scala
244580,Jeff Preiss
283161,Roger Allers
284711,Kevin O'Neill
262340,Ben Kellett
251736,Alex Ross Perry
228108,Gren Wells
256876,Gabe Polsky
246743,Joe Berlinger
222649,Jon Stewart
287703,Chiang Chin-Lin
254772,Rachid Bouchareb
277237,Gerard Johnson
296626,Alexander Yellen
285841,Charles Binamé
274626,Brett Simmons
253287,Simon Helberg
288154,Paul Tarnopol
292985,Rudy Bednar
274899,Seth Grossman
272602,Sean Mullin
287935,Roger Spottiswoode
300441,Tim Hill
263510,David Salzberg
254005,Ádám Császi
268508,Patrick McManus
267795,Agnieszka Holland
244534,Joe Swanberg
249926,John Alexander
251979,Bruce MacDonald
279828,Rodrigo García
261768,Andrew Levitas
295144,Julian Farino
277594,Nick Lyon
276137,Michael Hewitt
289239,Peter Hewitt
242754,Simon Cellan Jones
220471,Christian E. Christiansen
289333,Shannon Hartman
308571,Jay Karas
288463,Gabe Turner
290802,André Singer
253046,Jared Cohn
292607,Nicholas Mross
252444,Marco Polo Constandse
264555,Doug Campbell
242083,David Cross
298935,J.C. Khoury
292483,Shane Dawson
288789,Robert Kenner
290336,Mo Ali
284470,Zak Penn
265018,Alastair Orr
283330,Mia Hansen-Løve
260947,Darin Scott
297462,Rik Swartzwelder
256273,Manny Rodriguez
147778,Des Doyle
276729,Nickolas Dylan Rossi
267872,Sebastian Junger
295588,Dylan Baker
275657,Eddie Martin
296244,Kostas Ouzas
250777,Jennifer M. Kroot
256503,One9
286372,Michael G. Bartlett
300900,Joseph J. Lawson
286256,Mauro Lima
203819,John Curran
169760,Jillian Schlesinger
289339,Lance Bangs
283322,Toa Fraser
298077,Tomek Baginski
250666,Jesse Moss
314065,Nick Willing
291155,Kurt Engfehr
291343,Sebastian Dehnhardt
298653,Audrey Cummings
262903,David Dhawan
279992,David Gregory
283559,Paul Dugdale
286817,Marina Rice Bader
11,George Lucas
691,Lewis Gilbert
11319,John Lounsbery
703,Woody Allen
11114,Don Chaffey
840,Steven Spielberg
5902,Richard Attenborough
250480,John Lounsbery
14140,Vincent McEveety
11940,Sam Wanamaker
25388,Dick Richards
11009,John Badham
12535,Mel Brooks
11006,Hal Needham
5205,George Butler
17689,Clint Eastwood
10839,Sam Peckinpah
12637,Martin Scorsese
11590,George Roy Hill
19067,Ridley Scott
42222,Fred Zinnemann
49126,Robert Wise
11586,John Boorman
7227,Jerry Jameson
11834,Terry Gilliam
985,David Lynch
21948,John Flynn
26842,Moustapha Akkad
1362,Jules Bass
4199,Mike Newell
50374,John Frankenheimer
47474,Ingmar Bergman
47914,J. Lee Thompson
12707,Michael Anderson
38985,William Friedkin
72277,Peter Weir
24032,Carl Reiner
41662,Robert Altman
30315,John 'Bud' Cardos
24655,Elliot Silverstein
16220,Ralph Bakshi
10670,James Goldstone
12262,Wes Craven
18775,Donald Cammell
11598,John Landis
26517,George A. Romero
20416,Peter Yates
42218,Bert I. Gordon
64976,William Girdler
18196,Michael Winner
14741,Herbert Ross
33665,John Cassavetes
29437,David Cronenberg
26680,Ken Wiederhorn
19995,James Cameron
16869,Quentin Tarantino
12437,Patrick Tatopoulos
767,David Yates
14160,Bob Peterson
13475,J.J. Abrams
534,McG
17654,Neill Blomkamp
10528,Guy Ritchie
19913,Marc Webb
8355,Carlos Saldanha
18785,Todd Phillips
13183,Zack Snyder
14161,Roland Emmerich
12244,Shane Acker
13448,Ron Howard
10198,Ron Clements
22881,John Lee Hancock
19908,Ruben Fleischer
18239,Chris Weitz
10184,Ken Kwapis
14869,Stephen Sommers
18240,Anne Fletcher
15159,Harald Zwart
20943,Robert Luketic
22794,Phil Lord
10315,Wes Anderson
14836,Henry Selick
18360,Shawn Levy
16996,Burr Steers
17979,Robert Zemeckis
24122,Bart Freundlich
7980,Peter Jackson
14560,Steve Carr
28178,Lasse Hallström
22803,F. Gary Gray
22825,Richard Kelly
15092,Mark Neveldine
19898,Christian Alvart
25475,Klay Hall
16871,Sam Raimi
37707,Vincenzo Natali
13811,Alex Proyas
17431,Duncan Jones
19585,Hoyt Yeatman
19824,Harvey Glazer
18487,Tony Scott
20048,P.J. Hogan
12556,Mark Waters
18501,Mark Neveldine
19543,Don E. FauntLeRoy
31011,Jaco Van Dormael
19899,Peter Billingsley
7445,Jim Sheridan
20766,John Hillcoat
15512,Rob Letterman
24469,Andrea Arnold
24803,Nora Ephron
28211,Atom Egoyan
11322,Michael Mann
25472,David Soren
19994,Karyn Kusama
21208,Jaume Collet-Serra
23706,Phil Traill
19912,David R. Ellis
23398,Betty Thomas
36419,Agnieszka Wojtowicz-Vosloo
10521,Gary Winick
25793,Lee Daniels
16995,Kevin Macdonald
12572,Natalie Portman
16538,John Hamburg
11323,Steven Soderbergh
13836,Andy Fickman
28355,Christian Alvart
18947,Richard Curtis
23823,Declan O'Brien
19901,Michael Spierig
24420,Robert Schwentke
13532,Kyle Newman
17609,Lars von Trier
49391,Julian Fellowes
25643,Brandon Camp
13455,Paul McGuigan
26390,Antoine Fuqua
22804,Kevin Greutert
18320,Jean-Marc Vallée
12573,Ethan Coen
12403,David Twohy
19918,David Mackenzie
22787,Dominic Sena
14254,Charles Guard
17740,Timothy Linh Bui
8952,Glenn Ficarra
34647,Gaspar Noé
34653,Tom Ford
17134,Renny Harlin
15809,Jesse V. Johnson
20453,Rajkumar Hirani
8373,Michael Bay
10313,Grant Heslov
19265,Woody Allen
22832,James McTeigue
23367,Todd Graff
16523,Spike Jonze
22897,Nancy Meyers
28891,Nathan Hope
16258,Seth Grossman
19840,Chris Columbus
22327,Miguel Arteta
18162,Brad Silberling
22954,Clint Eastwood
16866,Jorge Blanco
18781,Peter Cornwell
26123,John Putch
17445,Lauren Montgomery
24056,Scott Mann
17610,Harold Ramis
39800,Todd Solondz
38448,Neil Jordan
36970,Jacques Perrin
14435,Patrick Lussier
105077,Edward James Olmos
62320,Yann Arthus-Bertrand
22949,Walt Becker
26428,Alejandro Amenábar
24238,Adam Elliot
22821,Troy Duffy
11699,Werner Herzog
8054,Terry Gilliam
18476,Jonas Åkerlund
4597,Nimród Antal
25769,Àlex Pastor
30432,Robert Guédiguian
37269,Gil Junger
24418,Paul Weitz
12834,Tim Blake Nelson
24684,Lone Scherfig
20829,Judd Apatow
39414,Kieran Mulroney
22947,Jason Reitman
16577,David Bowers
4959,Tom Tykwer
26466,Christopher Smith
45650,Joe Dante
28510,John Hyams
13804,Justin Lin
45806,Urszula Antoniak
22074,Michael Moore
14979,Mimi Leder
8880,Steven Soderbergh
24150,Rob Zombie
16991,Jody Hill
38842,George Gallo
18126,Peter Chelsom
17336,Dito Montiel
15357,Patrick Alessandrin
18131,Brian Herzlinger
20856,John Schultz
22051,Max Mayer
34480,Jon Harris
21407,Marcus Dunstan
9503,Sönke Wortmann
29483,Rachel Ward
31723,Sebastian Gutierrez
22824,Olatunde Osunsanmi
35939,Stephen Poliakoff
36691,Brian Koppelman
35052,Jordan Scott
71883,Takeshi Koike
42171,Josh Appignanesi
38542,J Blakeson
16558,Tony Gilroy
53729,Dana Lustig
22855,Sam Liu
28739,Ti West
22640,Jonas Pate
13975,Bertrand Tavernier
15359,Lauren Montgomery
29963,Jane Campion
80527,Mario Philip Azzopardi
26920,Yves Simoneau
25602,Isaac Florentine
24833,Robert Vince
16614,Greg Mottola
12569,Mike Judge
22620,Brian Levant
34769,Peter Stebbings
30844,David Lister
23568,Clare Kilner
10197,Rob Marshall
28089,Oren Moverman
19904,Nelson McCormick
28677,Ellory Elkayem
